Update: [2013/12/05 12:01:38 (5.793938563)]
625] c0      1 Bluetooth: HCI device and connection manager initialized
<6>[   28.218739] c0    804 [LED]pm8xxx_led_current_set, bank:4, brightness:0
<6>[   28.218861] c0    804 [LED]pm8xxx_led_blink_store: bank 4 blink 0 sync 0
<6>[   28.219014] c0    804 [LED]Setting amber off_timer to 0 min 0 sec 
<6>[   28.219105] c0    804 [LED]pm8xxx_led_current_set, bank:5, brightness:0
<6>[   28.219227] c0    804 [LED]pm8xxx_led_blink_store: bank 5 blink 0 sync 0
<6>[   28.219380] c0    804 [LED]Setting green off_timer to 0 min 0 sec 
<6>[   28.228170] c2    931 sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00
<6>[   28.249473] c2    931 Bluetooth: DEBUG:mgmt_control: got opcode 1f
<6>[   28.249900] c2    931 sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00
<6>[   28.373630] c2    803 [LS][cm3629] lightsensor_open, calibration:1
<6>[   28.373660] c2    803 [LS][cm3629] lightsensor_ioctl LIGHTSENSOR_IOCTL_ENABLE, value = 1
<6>[   28.373660] c2    803 [LS][cm3629] lightsensor_enable
<6>[   28.536914] c2    803 [LS][cm3629] get_ls_adc_value:resume 1
<6>[   28.537707] c2    803 [LS][cm3629] get_ls_adc_value: raw adc = 0x245, ls_calibrate = 0
<6>[   28.537707] c2    803 [cm3629] set_lsensor_range: low_thd = 0x8ED, high_thd = 0x32fb 
<6>[   28.538348] c2    803 [LS][cm3629] report_lsensor_input_event: ADC=0x824, Level=5, l_thd = 0x8ed, h_thd = 0x32fb, calibration 1 
<6>[   28.540210] c3    843 [LED]pm8xxx_led_current_set, bank:6, brightness:0
<6>[   28.564596] c2    803 [USB] show_ats: 0
<6>[   28.564626] c2    803 
<6>[   28.565450] c1      5 [LS][cm3629] get_ls_adc_value: raw adc = 0x23F, ls_calibrate = 0
<6>[   28.565450] c1      5 [cm3629] set_lsensor_range: low_thd = 0x122, high_thd = 0x43a 
<6>[   28.565756] c1      5 [LS][cm3629] report_lsensor_input_event: ADC=0x204, Level=3, l_thd = 0x122, h_thd = 0x43a, calibration 1 
<6>[   28.569113] c2    803 acc_open
<6>[   28.569143] c2    803 acc_release
<6>[   28.718632] c1      5 [LS][cm3629] get_ls_adc_value: raw adc = 0x906, ls_calibrate = 0
<6>[   28.718632] c1      5 [cm3629] set_lsensor_range: low_thd = 0x8ED, high_thd = 0x32fb 
<6>[   28.719273] c1      5 [LS][cm3629] report_lsensor_input_event: ADC=0x818, Level=5, l_thd = 0x8ed, h_thd = 0x32fb, calibration 1 
<6>[   29.134167] c1    931 sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00
<6>[   29.137189] c1    931 Bluetooth: DEBUG:mgmt_control: got opcode 13
<6>[   29.137311] c1    931 sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00
<6>[   29.241690] c2    803 alarm 0 set 1386216151.786000000
<6>[   29.248863] c1    931 sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00
<6>[   29.250358] c1    931 Bluetooth: DEBUG:mgmt_control: got opcode 5
<6>[   29.250389] c1    931 Bluetooth: DEBUG: set_powered: request for hci0, cp->val : 0
<6>[   29.250389] c1    931 Bluetooth: DEBUG: set_powered: power_off work getting queued
<6>[   29.250663] c1      5 Bluetooth: DEBUG: mgmt_powered: hci0 0
<6>[   29.250694] c1      5 Bluetooth: DEBUG: __hci_request : hci0 start
<6>[   29.250755] c1    335 Bluetooth: DEBUG: hci_cmd_task: opcode c03
<6>[   29.250907] c1    931 sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00
<6>[   29.282069] c0    731 Bluetooth: DEBUG: hci_cmd_complete_evt: hci0 opcode 0xc03
<6>[   29.282130] c1      5 Bluetooth: DEBUG: __hci_request : hci0 end: err 0
<6>[   29.303158] c1    931 sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00
<6>[   29.303677] c1    931 Bluetooth: DEBUG:mgmt_control: got opcode 9
<6>[   29.304532] c1    931 Bluetooth: DEBUG:mgmt_control: got opcode 9
<6>[   29.305447] c1    931 Bluetooth: DEBUG:mgmt_control: got opcode 9
<6>[   29.306302] c1    931 Bluetooth: DEBUG:mgmt_control: got opcode 9
<6>[   29.307095] c1    931 sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00sock ddf24300, sk dd505400sock ddf24900, sk dd505000sock ddf24a80, sk dc280000sock ddf24c00, sk dc280400sock ddf24d80, sk dc280800sock ddf24f00, sk dc280c00
<6>[   29.572684] c2    275 [USB] adb_release: adbd(parent:init): tgid=275
<6>[   29.620936] c3      1 [USB] android_switch_function: android_switch_function: 131, before 131
<6>[   29.620967] c3      1 [USB] android_switch_function: android_switch_function: SKIP due the function is the same ,131
<6>[   29.621852] c1    956 [USB] adb_open: adbd(parent:init): tgid=955
<6>[   30.306973] c0    137 [K] [PM] hTC PM Statistic start (12-05 12:02:02) 
<6>[   30.307004] c0    137  18:  1231	gp_timer
<6>[   30.307065] c0    137  48:     3	msmgpio
<6>[   30.307095] c0    137  51:    84	rpm_drv
<6>[   30.307157] c0    137 107:     4	MDP
<6>[   30.307218] c0    137 114:     2	MIPI_DSI
<6>[   30.307248] c0    137 130:  1091	sps
<6>[   30.307309] c0    137 136:  3429	msm-sdcc (cmd), msm-sdcc (pio)
<6>[   30.307401] c0    137 228:   130	qup_err_intr
<6>[   30.307431] c0    137 230:    41	smd_dev
<6>[   30.307492] c0    137 261:    20	ehci_hcd:usb1
<6>[   30.307553] c0    137 335:     1	msm_hsic_wakeup
<6>[   30.307614] c0    137 362:     2	pm8xxx_usr_irq
<6>[   30.307828] c0    137 648:     2	cm3629
<6>[   30.308042] c0    137 [K] cpu_id	cpu_state	idle_count	idle_time
<6>[   30.308072] c0    137 msm_rpm_dump_stat: 0, 0ms, 0, 0ms
<6>[   30.308103] c0    137 sleep_info_m.0 - 0 (0), 0ms, 0 0 0 0
<6>[   30.308133] c0    137 sleep_info_m.1 - 0 (0), 0ms, 0 0 0 0
<6>[   30.308164] c0    137 sleep_info_m.2 - 3 (1), 230ms, 0 0 750000 537500
<6>[   30.308194] c0    137 sleep_info_m.3 - 8 (1), 20349ms, 0 0 750000 537500
<6>[   30.308225] c0    137 sleep_info_m.4 - 0 (0), 0ms, 0 0 0 0
<6>[   30.308255] c0    137   758,     0 swapper/3        hrtimer_start_range_ns (tick_sched_timer)
<6>[   30.308316] c0    137   662,     0 swapper/2        hrtimer_start_range_ns (tick_sched_timer)
<6>[   30.308377] c0    137  1001,     0 swapper/0        hrtimer_start_range_ns (tick_sched_timer)
<6>[   30.308408] c0    137   661,     0 swapper/1        hrtimer_start_range_ns (tick_sched_timer)
<6>[   30.308469] c0    137   397,   574 AudioOut_4       hrtimer_start_range_ns (hrtimer_wakeup)
<6>[   30.308530] c0    137 5213 total events, 520.629 events/sec
<6>[   30.308560] c0    137 wakelock:  'PowerManagerService'  'main'  'pmic_led', time left 23; 
<6>[   30.309446] c0    137 [K] CPU Usage		PID		Name
<6>[   30.309476] c0    137 [K]       31%		727		gaiad		1262
<6>[   30.309476] c0    137 [K]        8%		733		SystemUiD		325
<6>[   30.309507] c0    137 [K]        4%		728		lockscreenD		182
<6>[   30.309537] c0    137 [K]        1%		511		logcat		42
<6>[   30.309568] c0    137 [K]        0%		165		mmcqd/0		27
<6>[   30.310270] c0    137 [K] [PM] hTC PM Statistic done
<3>[   30.369052] c1    176 init: ERROR on begin read h000 n=13, uinteParam=start;android
<3>[   30.369082] c1    176 init: ERROR on begin read h666 funcName=[start], rtName=[android]
<3>[   30.369143] c1    176 init: parse /plugin/android-rt/init_android.rcUpdate: [2013/12/05 12:02:06 (33.940127922)]
<6>[   31.079566] c3    985 msm_hsic_host msm_hsic_host: EHCI runtime resume
<6>[   31.079719] c3    985 msm_hsic_host msm_hsic_host: HSIC-USB exited from low power mode
<6>[   31.079780] c0    699 msm_hsic_resume_thread: Resume RH
<6>[   31.116831] c3    336 usb usb1: usb_resume_both[1320] resume intf n:1
<6>[   31.133404] c0    985 usb 1-1: usb_resume_both[1320] resume intf n:9
<7>[   31.637723] c0   1016 [GSNR][BMA250_BOSCH] g_sensor_power_LPM, on = 1, g_sensor_vreg_8921_l22 = 0x  (null)
<7>[   31.637723] c0   1016 [GSNR][BMA250_BOSCH] g_sensor_power_LPM, on = 1, g_sensor_vreg_8921_l21 = 0x  (null)
<3>[   31.637784] c0   1016 '8921_l22_g_sensor' regulator not found, rc=1
<6>[   32.533312] c0      5 [LS][cm3629] get_ls_adc_value: raw adc = 0x8EC, ls_calibrate = 0
<6>[   32.533343] c0      5 [cm3629] set_lsensor_range: low_thd = 0x43B, high_thd = 0x8ec 
<6>[   32.533587] c0      5 [LS][cm3629] report_lsensor_input_event: ADC=0x800, Level=4, l_thd = 0x43b, h_thd = 0x8ec, calibration 1 
<6>[   32.685975] c0      5 [LS][cm3629] get_ls_adc_value: raw adc = 0x8EE, ls_calibrate = 0
<6>[   32.685975] c0      5 [cm3629] set_lsensor_range: low_thd = 0x8ED, high_thd = 0x32fb 
<6>[   32.686250] c0      5 [LS][cm3629] report_lsensor_input_event: ADC=0x802, Level=5, l_thd = 0x8ed, h_thd = 0x32fb, calibration 1 
<6>[   32.991210] c0      5 [LS][cm3629] get_ls_adc_value: raw adc = 0x8E7, ls_calibrate = 0
<6>[   32.991210] c0      5 [cm3629] set_lsensor_range: low_thd = 0x43B, high_thd = 0x8ec 
<6>[   32.991484] c0      5 [LS][cm3629] report_lsensor_input_event: ADC=0x7FC, Level=4, l_thd = 0x43b, h_thd = 0x8ec, calibration 1 
<6>[   33.205188] c3    999 ion_client_create: create ion_client (GaiaWallpaper) at db443180
<6>[   33.266870] c0    137 ehci_hsic_bus_suspend: Suspend RH
<6>[   33.267144] c0    137 msm_hsic_host msm_hsic_host: EHCI runtime idle
<6>[   33.267144] c0    137 msm_hsic_host msm_hsic_host: EHCI runtime suspend
<6>[   33.267266] c0    137 msm_hsic_host msm_hsic_host: HSIC-USB in low power mode
<6>[   33.990355] c1   1020 ion_client_create: create ion_client (Matrix) at ddf05f80
<6>[   34.036807] c0    758 mmc0 Statistics: read 78140 KB in 1302 ms, perf 60015 KB/s, rq 1062
Update: [2013/12/05 12:02:09 (36.962651955)]
<6>[   34.124553] c0    758 ion_client_create: create ion_client (SystemUiD) at db776dc0
<3>[   35.178269] c3      1 init: cannot find '/system/bin/bootcomplete', disabling 'bootcomplete'
<6>[   35.412574] c1    731 ion_client_create: create ion_client (lockscreenD) at dad01700
<3>[   35.727971] c3      1 init: sys_prop: permission denied uid:10189  name:sys.ws
<6>[   36.461406] c3   1079 ion_client_create: create ion_client (watermark) at dd3af380
<6>[   37.496505] c1   1134 kgsl: kgsl_driver.stats.page_alloc = 24449024
<6>[   37.496505] c1   1134 kgsl: kgsl_driver.stats.page_alloc_kernel = 720896
<6>[   37.496535] c1   1134 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   37.496535] c1   1134 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
Update: [2013/12/05 12:02:13 (41.101550169)]
<6>[   37.733770] c2    243 msm_hsic_host msm_hsic_host: EHCI runtime resume
<6>[   37.733892] c2    243 msm_hsic_host msm_hsic_host: HSIC-USB exited from low power mode
<6>[   37.733953] c0    699 msm_hsic_resume_thread: Resume RH
<6>[   37.766854] c2    243 usb usb1: usb_resume_both[1320] resume intf n:1
<6>[   37.781779] c2    243 usb 1-1: usb_resume_both[1320] resume intf n:9
<6>[   38.671417] c2    804 alarm 2 set 2700.000000000
<6>[   39.056828] c0    808 mmc0 Statistics: read 26960 KB in 548 ms, perf 49197 KB/s, rq 633
<6>[   39.204150] c3      5 binder: undelivered transaction 8035
<6>[   39.204181] c3      5 binder: undelivered transaction 8029
<6>[   39.204394] c0    484 ion_client_destroy: destroy ion_client dd6229c0 (bootanimation)
<6>[   39.205341] c0      1 lowmem_shrink: convert oom_adj to oom_score_adj:
<6>[   39.205371] c0      1 oom_adj 0 => oom_score_adj 0
<6>[   39.205371] c0      1 oom_adj 2 => oom_score_adj 117
<6>[   39.205402] c0      1 oom_adj 4 => oom_score_adj 235
<6>[   39.205432] c0      1 oom_adj 7 => oom_score_adj 411
<6>[   39.205432] c0      1 oom_adj 9 => oom_score_adj 529
<6>[   39.205432] c0      1 oom_adj 12 => oom_score_adj 705
<6>[   39.235342] c0   1199 [BATT][CHG] set mitigation level(0) current=1100
<6>[   39.278620] c3   1194 msm_thermal: Max frequency reset for cpu0
<6>[   39.278650] c3   1194 msm_thermal: Max frequency reset for cpu1
<6>[   39.278681] c3   1194 msm_thermal: Max frequency reset for cpu2
<6>[   39.278681] c3   1194 msm_thermal: Max frequency reset for cpu3
<6>[   39.278712] c3   1194 msm_thermal: enabled = 0
<3>[   39.337311] c0      1 init: untracked pid 239 exited
<6>[   40.326842] c0     63 [K] [PM] hTC PM Statistic start (12-05 12:02:12) 
<6>[   40.326842] c0     63  18:  2063	gp_timer
<6>[   40.326873] c0     63  48:     5	msmgpio
<6>[   40.326903] c0     63  51:    12	rpm_drv
<6>[   40.326934] c0     63 107:   500	MDP
<6>[   40.326964] c0     63 112:   962	kgsl-3d0
<6>[   40.326995] c0     63 130:  2015	sps
<6>[   40.326995] c0     63 136:  6382	msm-sdcc (cmd), msm-sdcc (pio)
<6>[   40.327056] c0     63 203:    30	msmdatamover
<6>[   40.327086] c0     63 225:    34	msm_hs_uart
<6>[   40.327117] c0     63 228:    64	qup_err_intr
<6>[   40.327147] c0     63 261:   118	ehci_hcd:usb1
<6>[   40.327178] c0     63 307:     1	msm_hs_wakeup
<6>[   40.327208] c0     63 362:     3	pm8xxx_usr_irq
<6>[   40.327361] c0     63 648:     3	cm3629
<6>[   40.327514] c0     63 [K] cpu_id	cpu_state	idle_count	idle_time
<6>[   40.327514] c0     63 msm_rpm_dump_stat: 0, 0ms, 0, 0ms
<6>[   40.327514] c0     63 sleep_info_m.0 - 0 (0), 0ms, 0 0 0 0
<6>[   40.327544] c0     63 sleep_info_m.1 - 0 (0), 0ms, 0 0 0 0
<6>[   40.327544] c0     63 sleep_info_m.2 - 3 (1), 230ms, 0 0 750000 537500
<6>[   40.327544] c0     63 sleep_info_m.3 - 8 (1), 20349ms, 0 0 750000 537500
<6>[   40.327544] c0     63 sleep_info_m.4 - 0 (0), 0ms, 0 0 0 0
<6>[   40.327575] c0     63  1064,   574 AudioOut_4       hrtimer_start_range_ns (hrtimer_wakeup)
<6>[   40.327605] c0     63  1000,     0 swapper/2        hrtimer_start_range_ns (tick_sched_timer)
<6>[   40.327636] c0     63  1001,     0 swapper/3        hrtimer_start_range_ns (tick_sched_timer)
<6>[   40.327636] c0     63   988,     0 swapper/1        hrtimer_start_range_ns (tick_sched_timer)
<6>[   40.327666] c0     63  1000,     0 swapper/0        hrtimer_start_range_ns (tick_sched_timer)
<6>[   40.327697] c0     63   406,   165 mmcqd/0          cfq_completed_request (cfq_idle_slice_timer)
<6>[   40.327727] c0     63  12348,  1024 lockscreenD      hrtimer_start_range_ns (hrtimer_wakeup)
<6>[   40.327727] c0     63 19589 total events, 1955.456 events/sec
<6>[   40.327758] c0     63 wakelock:  'PowerManagerService'  'msm_hsic_host'  'main' 
<6>[   40.328643] c0     63 [K] CPU Usage		PID		Name
<6>[   40.328643] c0     63 [K]       18%		967		zygote_android		744
<6>[   40.328643] c0     63 [K]       17%		727		gaiad		709
<6>[   40.328673] c0     63 [K]       10%		728		lockscreenD		402
<6>[   40.328673] c0     63 [K]        8%		1018		Matrix		322
<6>[   40.328673] c0     63 [K]        7%		1009		RecentApps		296
<6>[   40.329314] c0     63 [K] [PM] hTC PM Statistic done
<6>[   40.556050] c1    806 kgsl: kgsl_driver.stats.page_alloc = 24514560
<6>[   40.556050] c1    806 kgsl: kgsl_driver.stats.page_alloc_kernel = 720896
<6>[   40.556081] c1    806 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   40.556081] c1    806 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   41.266931] c0     63 ehci_hsic_bus_suspend: Suspend RH
<6>[   41.267236] c0     63 msm_hsic_host msm_hsic_host: EHCI runtime idle
<6>[   41.267297] c0     63 msm_hsic_host msm_hsic_host: EHCI runtime suspend
<6>[   41.267511] c0     63 msm_hsic_host msm_hsic_host: HSIC-USB in low power mode
<6>[   41.345612] c2    940 alarm 3 set 641.091000000
Update: [2013/12/05 12:02:17 (45.407242218)]
<6>[   41.993804] c2   1221 [FLT]TPS switch_store: 1
<6>[   41.993956] c2   1221 [VIB_PWM]switch_store: 1
<6>[   41.993987] c1   1225 [FLT]TPS switch_store: 1
<6>[   41.994140] c1   1225 [VIB_PWM]switch_store: 1
<6>[   42.291744] c1   1226 [FLT]TPS switch_store: 1
<6>[   42.291835] c1   1226 [VIB_PWM]switch_store: 1
<6>[   42.292873] c1   1224 [FLT]TPS switch_store: 1
<6>[   42.292995] c1   1224 [VIB_PWM]switch_store: 1
<6>[   42.293453] c2   1223 [FLT]TPS switch_store: 1
<6>[   42.293575] c2   1223 [VIB_PWM]switch_store: 1
<6>[   42.839188] c1   1355 apq8064_get_q6_effect_mode: mode 0
<6>[   42.839706] c1   1355 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[   42.839737] c1   1355 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[   42.839829] c1   1355 [AUD] snd_soc_msm8960: spk amp on ++
<6>[   42.839859] c1   1355 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[   42.840683] c1   1355 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 1 dsp_enabled = 1
<6>[   42.841507] c1   1355 [AUD] snd_soc_msm8960: spk amp on --
<6>[   42.841538] c1   1355 [AUD] snd_soc_core: soc_pcm_open: pcm open COMPR
<7>[   42.841568] c1   1355 msm_compr_open
<6>[   42.841568] c1   1355 [AUD] snd_soc_qdsp6: msm_compr_open, dai_link stream name = COMPR
<6>[   42.841599] c1   1355 [AUD] snd_soc_qdsp6: [dd5f6000] msm_compr_open: session ID 1
<7>[   42.841629] c1   1355 populate_codec_list
<7>[   42.841843] c1   1355 [dd5f6000] SNDRV_COMPRESS_GET_CAPS
<7>[   42.841873] c1   1355 [dd5f6000] SNDRV_COMPRESS_SET_PARAMS: 
<7>[   42.841904] c1   1355 [dd5f6000] SND_AUDIOCODEC_MP3
<7>[   42.842026] c1   1355 [dd5f6000] msm_compr_hw_params
<6>[   42.842026] c1   1355 [AUD] snd_soc_qdsp6: msm_compr_hw_params: enable 24 bit Audio in POPP
<6>[   42.842057] c1   1355 apq8064_get_q6_effect_mode: mode 0
<6>[   42.842057] c1   1355 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[   42.850999] c0   1355 apq8064_get_q6_effect_mode: mode 0
<6>[   42.850999] c0   1355 [AUD] snd_soc_qdsp6: msm_compr_hw_params, dai_link stream name = COMPR
<7>[   42.851030] c0   1355 [dd5f6000] msm_compr_hw_params compressed set ramping for 50 ms
<7>[   42.852891] c0   1355 [dd5f6000]compr vol 0
<6>[   42.853471] c0   1355 ion_client_create: create ion_client (audio_client) at d9b8d440
<7>[   42.854723] c0   1355 [dd5f6000] msm_compr_hw_params: buf[de26e000]dma_buf->area[f0c00000]dma_buf->addr[ff89e000]
<7>[   42.854753] c0   1355 dma_buf->bytes[2097152]
<7>[   42.854875] c0   1355 [dd5f6000] msm_compr_mmap
<6>[   42.854936] c0   1355 apq8064_get_q6_effect_mode: mode 0
<6>[   42.859026] c0   1355 [AUD] q6adm: adm_matrix_map: session 0x1 path:1 num_copps:1 port_id[0]:6
<6>[   42.859026] c0   1355 [AUD] q6adm: adm_matrix_map: port_id[0]: 6, index: 6
<6>[   42.860094] c0   1355 [AUD] q6afe: afe_port_start: 6 48000
<7>[   42.863726] c0   1355 [dd5f6000] compressed stream prepare
<7>[   42.863757] c0   1355 [dd5f6000] msm_compr_playback_prepare: SND_AUDIOCODEC_MP3
<7>[   42.865710] c0   1355 [dd5f6000] msm_compr_ioctl: SNDRV_PCM_IOCTL1_RESET
<7>[   42.866259] c0   1020 [dd5f6000] ASM_STREAM_CMD_FLUSH
<6>[   42.874530] c0   1355 [AUD] q6adm: adm_close port_id=6 index 6
<6>[   42.878101] c0   1355 [AUD] q6afe: afe_close: port_id=6
<6>[   42.880573] c0   1355 [AUD] snd_soc_msm8960: spk amp off++
<6>[   42.880573] c0   1355 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[   42.881397] c0   1355 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 0 dsp_enabled = 1
<6>[   42.882191] c0   1355 [AUD] snd_soc_msm8960: spk amp off--
<6>[   42.885457] c3    549 apq8064_get_q6_effect_mode: mode 0
<6>[   42.886036] c3    549 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[   42.886067] c3    549 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[   42.886159] c3    549 [AUD] snd_soc_msm8960: spk amp on ++
<6>[   42.886189] c3    549 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[   42.886983] c3    549 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 1 dsp_enabled = 1
<6>[   42.887746] c3    549 [AUD] snd_soc_msm8960: spk amp on --
<6>[   42.887776] c3    549 [AUD] snd_soc_core: soc_pcm_open: pcm open Compress Stub
<7>[   42.914542] c0   1355 [dd5f6000]compr vol 8192
<6>[   43.986052] c2    806 kgsl: kgsl_driver.stats.page_alloc = 24514560
<6>[   43.986082] c2    806 kgsl: kgsl_driver.stats.page_alloc_kernel = 720896
<6>[   43.986082] c2    806 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   43.986082] c2    806 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   44.812574] c3    243 msm_hsic_host msm_hsic_host: EHCI runtime resume
<6>[   44.812788] c3    243 msm_hsic_host msm_hsic_host: HSIC-USB exited from low power mode
<6>[   44.812818] c0    699 msm_hsic_resume_thread: Resume RH
